EVENT_NUMBER	SIZE	DISTANCE	LENGTH	WIDTH	AZWIDTH	MISS	ALPHA
3680	728.207	94.05	51.821	34.086	9760.354	66.462	44.991
3681	887.259	91.544	49.589	31.324	9231.927	61.608	42.299
3682	786.887	93.284	52.233	33.582	9606.814	66.943	45.89
3683	769.544	95.51	51.63	33.739	10051.109	65.263	43.079
3684	777.733	95.363	52.316	34.685	10025.691	67.94	45.398
3685	454.003	326.944	39.138	36.654	107655.283	16.682	2.923
3686	1490.081	269.319	51.57	33.393	73097.644	267.667	83.72
3687	753.289	95.778	51.108	34.174	10078.941	67.227	44.588
3688	763.038	95.569	51.744	35.052	10068.393	66.989	44.507
3689	715.475	317.22	52.93	34.01	101324.474	293.147	67.518
3690	855.381	91.27	50.4	35.161	9235.87	63.459	44.027
3691	750.873	94.785	52.012	35.992	9950.041	65.318	43.551
3692	712.973	96.408	53.275	35.493	10277.631	67.243	44.187
3693	739.702	98.085	52.39	33.922	10556.896	68.657	44.427
3694	1506.188	61.586	116.542	34.961	5371.575	54.747	62.748
3695	947.874	92.126	48.45	32.814	9335.699	61.455	41.836
3696	957.604	91.823	48.651	31.932	9249.659	63.831	44.027
3697	879.837	91.767	49.095	31.266	9233.017	64.526	44.668
3698	778.122	95.286	52.069	33.076	9963.759	69.342	46.719
3699	758.13	94.944	53.101	34.834	9974.946	66.839	44.749
3700	781.275	93.257	51.773	34.592	9623.941	65.29	44.427
3701	752.354	95.21	52.147	35.53	10003.832	68.052	45.643
3702	1922.351	250.583	76.068	38.005	65279.681	101.503	23.891
3703	802.728	92.187	49.951	35.728	9401.653	64.28	44.187
3704	849.327	94.33	52.618	33.342	9817.055	67.009	45.235
3705	905.299	91.433	47.105	32.277	9162.801	61.701	42.454
3706	752.028	97.685	51.861	35.48	10479.719	69.426	45.316
3707	721.059	95.381	51.174	36.728	10051.724	66.114	43.868
3708	901.68	91.667	49.336	31.316	9233.836	63.154	43.551
3709	790.496	95.776	52.32	33.944	10089.406	68.587	45.725
3710	920.392	90.792	47.729	32.341	9038.119	63.962	44.749
3711	879.934	90.98	47.819	32.076	9078.279	63.212	44.027
3712	895.92	90.794	47.444	33.391	9079.959	59.826	41.224
3713	1588.359	172.088	85.218	53.13	32700.34	71.58	24.582
3714	714.435	94.315	52.698	34.203	9823.484	67.521	45.725
3715	431.985	329.763	38.432	36.166	109457.757	168.866	30.797
3716	758.933	94.776	51.347	34.919	9902.385	66.719	44.749
3717	1631.985	165.505	85.35	52.022	30510.052	64.41	22.892
3718	648.074	185.62	52.402	34.142	35155.556	170.283	66.491
3719	776.392	95.77	52.032	34.44	10099.769	67.592	44.91
3720	743.109	319.333	54.298	32.831	102667.314	291.265	65.783
3721	839.704	94.337	52.357	33.102	9817.275	66.224	44.588
3722	784.331	296.795	53.806	34.146	89390.312	117.258	23.266
3723	762.598	94.333	50.531	36.532	9854.266	62.773	41.682
3724	894.963	91.191	49.257	32.42	9163.756	62.407	43.157
3725	758.13	320.918	54.468	33.692	103718.676	290.545	64.823
3726	743.822	97.828	51.544	34.564	10485.125	69.589	45.316
3727	757.164	320.951	54.397	33.84	103730.88	293.018	65.923
3728	866.801	90.484	48.527	32.187	9078.139	54.382	36.942
3729	766.72	320.041	54.508	34.099	103159.256	291.438	65.644
3730	774.16	50.51	53.569	34.058	3080.543	50.387	86.376
3731	3130.066	280.407	65.879	62.782	80665.481	204.788	46.886
3732	777.649	94.32	51.924	33.815	9799.272	67.638	45.807
