channel	pmt	cluster	global_number	gain	k_adc	rel_sens	code_per_pe	x	y	cur_count_rate_channel	amplitude	ignore_status
5 1 4 32 0.836 5.956 1.152 2.246 150.64 -50.09 2 0 0
6 8 4 228 0.902 1.161 0.975 12.436 134.67 27.66 3 0 0
7 8 4 228 0.902 4.664 0.975 3.095 134.67 27.66 3 0 0
8 5 4 144 1.069 1.185 1.05 14.423 154.55 -20.35 4 0 0
9 5 4 144 1.069 5.824 1.05 2.936 154.55 -20.35 4 0 0
10 12 4 340 1.114 1.122 1.148 15.888 138.58 57.4 5 0 0
11 12 4 340 1.114 4.79 1.148 3.723 138.58 57.4 5 0 0
12 4 4 116 0.803 1.121 1.269 11.456 126.83 -31.83 6 0 0
13 4 4 116 0.803 5.177 1.269 2.48 126.83 -31.83 6 0 0
14 11 4 312 1.167 1.243 0.825 15.015 110.87 45.92 7 0 0
15 11 4 312 1.167 4.79 0.825 3.897 110.87 45.92 7 0 0
16 3 4 88 1.203 1.3 1.065 14.811 122.92 -61.57 8 0 0
17 3 4 88 1.203 5.035 1.065 3.823 122.92 -61.57 8 0 0
18 10 4 284 1.202 1.266 1.029 15.201 106.95 16.18 9 0 0
19 10 4 284 1.202 5.715 1.029 3.366 106.95 16.18 9 0 0
20 2 4 60 1.065 1.171 1.082 14.544 146.72 -79.83 10 0 0
21 2 4 60 1.065 4.721 1.082 3.609 146.72 -79.83 10 0 0
22 9 4 256 0.823 1.186 1.153 11.099 130.75 -2.08 11 0 0
23 9 4 256 0.823 5.036 1.153 2.614 130.75 -2.08 11 0 0
24 7 4 200 0.882 1.255 0.932 11.247 174.44 -68.35 12 0 0
25 7 4 200 0.882 5.493 0.932 2.569 174.44 -68.35 12 0 0
26 14 4 396 1.153 1.181 0.982 15.617 158.47 9.4 13 0 0
27 14 4 396 1.153 5.275 0.982 3.497 158.47 9.4 13 0 0
28 6 4 172 1.041 1.129 1.196 14.754 178.35 -38.61 14 0 0
29 6 4 172 1.041 5.423 1.196 3.071 178.35 -38.61 14 0 0
30 13 4 368 1.099 1.126 0.839 15.61 162.38 39.14 15 0 0
31 13 4 368 1.099 5.45 0.839 3.227 162.38 39.14 15 0 0
32 24 4 676 0.975 1.164 1.037 13.392 182.27 -8.87 16 0 0
33 24 4 676 0.975 5.275 1.037 2.956 182.27 -8.87 16 0 0
34 17 4 480 0.889 1.155 0.911 12.316 166.3 68.88 17 0 0
35 17 4 480 0.889 6.372 0.911 2.232 166.3 68.88 17 0 0
36 25 4 704 0.876 1.181 1.077 11.874 186.18 20.88 18 0 0
37 25 4 704 0.876 6.288 1.077 2.229 186.18 20.88 18 0 0
38 18 4 508 0.969 1.159 1.009 13.371 170.21 98.63 19 0 0
39 18 4 508 0.969 6.025 1.009 2.573 170.21 98.63 19 0 0
40 26 4 732 0.789 1.208 1.313 10.444 213.9 32.36 20 0 0
41 26 4 732 0.789 5.648 1.313 2.234 213.9 32.36 20 0 0
42 19 4 536 0.859 1.187 1.121 11.581 197.93 110.11 21 0 0
43 19 4 536 0.859 5.183 1.121 2.652 197.93 110.11 21 0 0
44 27 4 760 1.012 1.187 1.076 13.632 237.7 14.09 22 0 0
45 27 4 760 1.012 6.436 1.076 2.515 237.7 14.09 22 0 0
46 20 4 564 1.112 1.216 1.037 14.629 221.73 91.84 23 0 0
47 20 4 564 1.112 5.889 1.037 3.022 221.73 91.84 23 0 0
48 28 4 788 0.888 1.167 1.126 12.175 233.78 -15.65 24 0 0
49 28 4 788 0.888 5.204 1.126 2.731 233.78 -15.65 24 0 0
50 21 4 592 1.004 1.229 0.922 13.075 217.82 62.1 25 0 0
51 21 4 592 1.004 5.747 0.922 2.796 217.82 62.1 25 0 0
52 23 4 648 0.894 1.206 1.039 11.865 206.07 -27.13 26 0 0
53 23 4 648 0.894 5.089 1.039 2.811 206.07 -27.13 26 0 0
54 16 4 452 0.855 1.094 1.032 12.515 190.1 50.62 27 0 0
55 16 4 452 0.855 6.903 1.032 1.983 190.1 50.62 27 0 0
56 22 4 620 0.882 1.28 0.978 11.019 209.98 2.61 28 0 0
57 22 4 620 0.882 5.428 0.978 2.599 209.98 2.61 28 0 0
58 15 4 424 1.017 1.221 0.98 13.329 194.01 80.36 29 0 0
59 15 4 424 1.017 6.299 0.98 2.583 194.01 80.36 29 0 0
4 1 5 33 0.835 1.145 1.114 11.678 -178.05 -158.11 2 0 0
5 1 5 33 0.835 6.392 1.114 2.091 -178.05 -158.11 2 0 0
6 8 5 229 1.055 1.257 0.881 13.431 -194.01 -80.36 3 0 0
7 8 5 229 1.055 6.492 0.881 2.6 -194.01 -80.36 3 0 0
8 5 5 145 1.072 1.136 1.0 15.09 -174.13 -128.37 4 0 0
9 5 5 145 1.072 7.006 1.0 2.447 -174.13 -128.37 4 0 0
10 12 5 341 0.961 1.204 0.98 12.764 -190.1 -50.62 5 0 0
11 12 5 341 0.961 6.491 0.98 2.369 -190.1 -50.62 5 0 0
12 4 5 117 0.891 1.113 0.995 12.8 -201.85 -139.85 6 0 0
13 4 5 117 0.891 5.295 0.995 2.691 -201.85 -139.85 6 0 0
14 11 5 313 1.042 1.226 1.034 13.606 -217.82 -62.1 7 0 0
15 11 5 313 1.042 6.186 1.034 2.696 -217.82 -62.1 7 0 0
16 3 5 89 1.19 1.301 0.933 14.634 -205.76 -169.59 8 0 0
17 3 5 89 1.19 5.998 0.933 3.173 -205.76 -169.59 8 0 0
18 10 5 285 1.046 1.247 0.832 13.422 -221.73 -91.84 9 0 0
19 10 5 285 1.046 5.785 0.832 2.894 -221.73 -91.84 9 0 0
20 2 5 61 1.108 1.091 0.825 16.246 -181.96 -187.86 10 0 0
21 2 5 61 1.108 5.782 0.825 3.065 -181.96 -187.86 10 0 0
22 9 5 257 0.779 1.174 1.081 10.62 -197.93 -110.11 11 0 0
23 9 5 257 0.779 5.895 1.081 2.116 -197.93 -110.11 11 0 0
24 7 5 201 0.868 1.214 0.987 11.442 -154.25 -176.38 12 0 0
25 7 5 201 0.868 6.727 0.987 2.065 -154.25 -176.38 12 0 0
26 14 5 397 1.026 1.208 0.747 13.584 -170.21 -98.63 13 0 0
27 14 5 397 1.026 6.337 0.747 2.59 -170.21 -98.63 13 0 0
28 6 5 173 1.112 1.049 0.928 16.969 -150.33 -146.63 14 0 0
29 6 5 173 1.112 5.514 0.928 3.227 -150.33 -146.63 14 0 0
30 13 5 369 0.918 1.186 0.89 12.381 -166.3 -68.88 15 0 0
31 13 5 369 0.918 6.113 0.89 2.402 -166.3 -68.88 15 0 0
32 24 5 677 0.981 1.121 0.842 14.011 -146.41 -116.89 16 0 0
33 24 5 677 0.981 5.562 0.842 2.823 -146.41 -116.89 16 0 0
34 17 5 481 1.1 1.17 1.046 15.039 -162.38 -39.14 17 0 0
35 17 5 481 1.1 5.928 1.046 2.968 -162.38 -39.14 17 0 0
36 25 5 705 1.035 1.097 1.093 15.095 -142.5 -87.15 18 0 0
37 25 5 705 1.035 6.129 1.093 2.702 -142.5 -87.15 18 0 0
38 18 5 509 0.879 1.122 0.907 12.534 -158.47 -9.4 19 0 0
39 18 5 509 0.879 5.683 0.907 2.476 -158.47 -9.4 19 0 0
40 26 5 733 1.238 1.16 0.798 17.073 -114.78 -75.67 20 0 0
41 26 5 733 1.238 7.085 0.798 2.796 -114.78 -75.67 20 0 0
42 19 5 537 1.042 1.196 1.045 13.943 -130.75 2.08 21 0 0
43 19 5 537 1.042 5.814 1.045 2.868 -130.75 2.08 21 0 0
44 27 5 761 0.965 1.171 0.961 13.186 -90.98 -93.93 22 0 0
45 27 5 761 0.965 7.087 0.961 2.179 -90.98 -93.93 22 0 0
46 20 5 565 0.917 1.096 1.037 13.387 -106.95 -16.18 23 0 0
47 20 5 565 0.917 5.955 1.037 2.463 -106.95 -16.18 23 0 0
48 28 5 789 0.819 1.079 1.045 12.142 -94.9 -123.67 24 0 0
49 28 5 789 0.819 6.479 1.045 2.023 -94.9 -123.67 24 0 0
50 21 5 593 1.143 1.137 0.958 16.083 -110.87 -45.92 25 0 0
51 21 5 593 1.143 5.602 0.958 3.265 -110.87 -45.92 25 0 0
52 23 5 649 1.188 1.122 1.064 16.934 -122.61 -135.15 26 0 0
53 23 5 649 1.188 5.536 1.064 3.432 -122.61 -135.15 26 0 0
54 16 5 453 1.099 1.125 1.056 15.627 -138.58 -57.4 27 0 0
55 16 5 453 1.099 7.009 1.056 2.509 -138.58 -57.4 27 0 0
56 22 5 621 0.832 1.164 1.095 11.434 -118.7 -105.41 28 0 0
57 22 5 621 0.832 8.777 1.095 1.516 -118.7 -105.41 28 0 0
58 15 5 425 1.152 1.182 0.993 15.594 -134.67 -27.66 29 0 0
59 15 5 425 1.152 7.048 0.993 2.616 -134.67 -27.66 29 0 0
4 1 6 34 1.103 1.171 0.872 15.064 -86.76 -260.91 2 0 0
5 1 6 34 1.103 5.813 0.872 3.036 -86.76 -260.91 2 0 0
6 8 6 230 1.098 1.139 1.045 15.424 -102.73 -183.16 3 0 0
7 8 6 230 1.098 5.467 1.045 3.213 -102.73 -183.16 3 0 0
8 5 6 146 0.923 1.221 1.104 12.092 -82.84 -231.16 4 0 0
9 5 6 146 0.923 5.594 1.104 2.639 -82.84 -231.16 4 0 0
10 12 6 342 0.863 1.163 1.153 11.866 -98.81 -153.41 5 0 0
11 12 6 342 0.863 5.006 1.153 2.757 -98.81 -153.41 5 0 0
12 4 6 118 0.934 1.14 1.267 13.113 -110.56 -242.64 6 0 0
13 4 6 118 0.934 5.942 1.267 2.516 -110.56 -242.64 6 0 0
14 11 6 314 1.024 1.289 1.092 12.716 -126.53 -164.9 7 0 0
15 11 6 314 1.024 5.458 1.092 3.003 -126.53 -164.9 7 0 0
16 3 6 90 1.141 1.132 1.067 16.121 -114.48 -272.39 8 0 0
17 3 6 90 1.141 4.464 1.067 4.09 -114.48 -272.39 8 0 0
18 10 6 286 0.937 1.163 1.105 12.883 -130.44 -194.64 9 0 0
19 10 6 286 0.937 5.642 1.105 2.657 -130.44 -194.64 9 0 0
20 2 6 62 0.981 1.167 1.288 13.461 -90.67 -290.65 10 0 0
