564	536	592	424	125	293	265
788	760	648	620	542	320	292
592	732	564	452	424	125	97
648	172	676	788	620	514	542
452	368	480	704	732	592	424
620	676	704	732	760	788	648
424	480	508	536	564	592	452
33	145	117	89	61	201	173
229	341	313	285	257	397	369
145	33	117	257	397	173	677
341	229	313	369	481	793	653
117	33	145	89	257	581	609
313	229	341	285	205	177	653
89	33	117	61	749	777	609
285	229	313	257	205	553	581
61	33	89	201	521	549	777
257	229	145	117	285	397	581
201	33	61	173	314	286	549
397	229	145	257	369	677	705
173	33	145	201	677	649	314
369	229	341	397	481	705	453
677	145	397	173	705	649	621
481	341	369	509	453	425	793
705	397	369	677	733	453	621
509	481	537	425	63	765	793
733	85	705	761	593	453	621
537	281	509	565	425	63	203
761	85	57	733	789	621	510
565	113	281	253	537	593	425
789	761	649	621	342	482	510
593	113	85	733	565	453	425
649	173	677	789	621	342	314
453	369	481	705	733	593	425
621	677	705	733	761	789	649
425	481	509	537	565	593	453
34	146	118	90	62	202	174
230	342	314	286	258	398	370
146	34	118	258	398	174	678
342	789	649	230	314	370	482
118	34	146	90	258	577	605
314	201	173	649	230	342	286
90	34	118	62	745	773	605
286	201	230	314	258	549	577
62	34	90	202	773	354	326
258	230	146	118	286	398	577
202	34	62	174	354	494	522
398	230	146	258	370	678	706
174	34	146	202	678	650	522
370	230	342	398	482	706	454
678	146	398	174	706	650	622
482	789	342	370	510	454	426
706	398	370	678	734	454	622
510	57	761	789	482	538	426
734	87	706	762	594	454	622
538	57	197	283	510	566	426
762	87	59	734	790	622	319
566	115	283	255	538	594	426
790	762	650	622	319	291	550
594	115	87	734	566	454	426
650	174	678	790	622	522	550
454	370	482	706	734	594	426
622	678	706	734	762	790	650
426	482	510	538	566	594	454
35	147	119	91	63	203	175
231	343	315	287	259	399	371
147	35	119	259	399	175	679
343	231	315	371	483	799	659
119	35	147	91	259	569	597
315	231	343	287	211	183	659
91	35	119	63	737	765	597
287	231	315	259	541	569	211
63	509	537	35	91	203	765
259	231	147	119	287	399	569
203	309	281	537	35	63	175
399	231	147	259	371	679	707
175	309	35	147	203	679	651
371	231	343	399	483	707	455
679	147	399	175	707	651	623
483	343	371	511	455	427	799
707	399	371	679	735	455	623
511	483	539	427	771	799	75
